"NUM_CNPJ,""ID_CIDADE"",""ID_CNAE"",""ORIGEM"""
"18177455000142,4048,843,""CONCORRENTE"""
"35733424000140,8452,1307,""CONCORRENTE"""
"20756150000137,4728,861,""CONCORRENTE"""
"10673285000185,2096,586,""SPC"""
"17762227000177,3983,838,""SPC"""
"78068657000188,8770,,""CONCORRENTE"""
"8548482000120,1778,388,""CONCORRENTE"""
"31425057000166,7220,1112,""SPC"""
"31441184000159,7221,1112,""CONCORRENTE"""
"8719905000128,1844,389,""CONCORRENTE"""
"25714878000110,6321,1028,""SPC"""
"8856105000159,1877,394,""SPC"""
"30018357000168,7043,1081,""CONCORRENTE"""
"35525494000102,8394,1303,""SPC"""
"5248389000102,1102,178,""CONCORRENTE"""
"11267167000130,2174,586,""SPC"""
"20749152000107,4715,861,""CONCORRENTE"""
"2621417000105,582,162,""CONCORRENTE"""
"33259513000170,7918,1201,""CONCORRENTE"""
"24560681000100,6091,1028,""SPC"""
"35770434000155,8459,1317,""CONCORRENTE"""
"8821197000131,1869,394,""SPC"""
"10858416000107,2174,586,""CONCORRENTE"""
"30471929000160,7043,1094,""SPC"""
"7516547000193,1722,344,""CONCORRENTE"""
"16934645000131,3549,833,""SPC"""
"16756055000166,3486,833,""SPC"""
"14544295000171,2885,749,""CONCORRENTE"""
"9538717000166,2048,535,""CONCORRENTE"""
"25255768000137,6268,1028,""SPC"""
"33280107000190,7918,1204,""SPC"""
"29675281000164,7043,1080,""CONCORRENTE"""
"4280719000184,988,178,""CONCORRENTE"""
"35792523000100,8463,1325,""SPC"""
"8536991000133,1778,387,""CONCORRENTE"""
"4549130000139,988,178,""SPC"""
"6289766000114,1347,225,""CONCORRENTE"""
"22713073000163,5642,1007,""CONCORRENTE"""
"25860691000124,6445,1028,""SPC"""
"21607497000180,5041,937,""CONCORRENTE"""
"77321776000308,8742,,""SPC"""
"9068361000144,1925,395,""SPC"""
"22146539000196,5348,950,""CONCORRENTE"""
"84883032000253,9828,,""CONCORRENTE"""
"6178526000142,1347,183,""CONCORRENTE"""
"28850381000117,7043,1054,""SPC"""
"31145858000178,7088,1105,""CONCORRENTE"""
"34315478000122,8127,1263,""SPC"""
"15565714000114,3284,823,""CONCORRENTE"""
"3456648000165,799,165,""SPC"""
"33636742000167,7994,1256,""CONCORRENTE"""
"83720060002745,8819,,""CONCORRENTE"""
"34112003000139,8043,1262,""SPC"""
"12739871000100,2587,626,""SPC"""
"7751047000306,1778,367,""SPC"""
"4499952000152,988,178,""CONCORRENTE"""
"14080654000187,2754,738,""SPC"""
"31920224000145,7352,1144,""CONCORRENTE"""
"8661749000191,1839,389,""SPC"""
"15352738000195,3200,796,""CONCORRENTE"""
"14551965000187,2885,749,""SPC"""
"8576625000108,1823,388,""CONCORRENTE"""
"9288405000141,2044,479,""SPC"""
"32731759000130,7710,1161,""SPC"""
"9084645000124,1928,395,""SPC"""
"19794732000129,4439,853,""SPC"""
"7127898000102,1347,234,""CONCORRENTE"""
"21708513000121,5101,937,""CONCORRENTE"""
"25026510000169,6230,1028,""SPC"""
"27252740000171,6950,1049,""SPC"""
"26838311000118,6881,1047,""CONCORRENTE"""
"29332972000165,7043,1073,""CONCORRENTE"""
"4141061000120,988,178,""CONCORRENTE"""
"5875078000173,1337,179,""CONCORRENTE"""
"97520181000119,11677,,""SPC"""
"6289613000177,1347,218,""SPC"""
