"ID_CIDADE,""DES_CIDADE"",""DES_SIGLA_ESTADO"",""DES_REGIAO_IBGE"""
"4248,""SAO JOSE"",""MS"",""CENTRO-OESTE"""
"4249,""SAO JOSE DO SUCURIU"",""MS"",""CENTRO-OESTE"""
"4250,""SAO PEDRO"",""MS"",""CENTRO-OESTE"""
"4251,""SAO PEDRO"",""MS"",""CENTRO-OESTE"""
"4252,""SAO ROMAO"",""MS"",""CENTRO-OESTE"""
"4253,""SELVIRIA"",""MS"",""CENTRO-OESTE"""
"4254,""SETE QUEDAS"",""MS"",""CENTRO-OESTE"""
"4255,""SIDROLANDIA"",""MS"",""CENTRO-OESTE"""
"4256,""SONORA"",""MS"",""CENTRO-OESTE"""
"4257,""TACURU"",""MS"",""CENTRO-OESTE"""
"4258,""TAMANDARE"",""MS"",""CENTRO-OESTE"""
"4259,""TAQUARI"",""MS"",""CENTRO-OESTE"""
"4260,""TAQUARUSSU"",""MS"",""CENTRO-OESTE"""
"4261,""TAUNAY"",""MS"",""CENTRO-OESTE"""
"4262,""TERENOS"",""MS"",""CENTRO-OESTE"""
"4263,""TRES LAGOAS"",""MS"",""CENTRO-OESTE"""
"4264,""VELHACARIA"",""MS"",""CENTRO-OESTE"""
"4265,""VICENTINA"",""MS"",""CENTRO-OESTE"""
"4266,""VILA FORMOSA"",""MS"",""CENTRO-OESTE"""
"4267,""VILA MARQUES"",""MS"",""CENTRO-OESTE"""
"4268,""VILA RICA"",""MS"",""CENTRO-OESTE"""
"4269,""VILA UNIAO"",""MS"",""CENTRO-OESTE"""
"4270,""VILA VARGAS"",""MS"",""CENTRO-OESTE"""
"4271,""VISTA ALEGRE"",""MS"",""CENTRO-OESTE"""
"2620,""ABADIA DOS DOURADOS"",""MG"",""SUDESTE"""
"2621,""ABAETE"",""MG"",""SUDESTE"""
"2622,""ABAETE DOS MENDES"",""MG"",""SUDESTE"""
"2623,""ABAIBA"",""MG"",""SUDESTE"""
"2624,""ABRE CAMPO"",""MG"",""SUDESTE"""
"2625,""ABREUS"",""MG"",""SUDESTE"""
"2626,""ACAIACA"",""MG"",""SUDESTE"""
"2627,""ACUCENA"",""MG"",""SUDESTE"""
"2628,""ACURUI"",""MG"",""SUDESTE"""
"2629,""ADAO COLARES"",""MG"",""SUDESTE"""
"2630,""AGUA BOA"",""MG"",""SUDESTE"""
"2631,""AGUA BRANCA DE MINAS"",""MG"",""SUDESTE"""
"2632,""AGUA COMPRIDA"",""MG"",""SUDESTE"""
"2633,""AGUA VIVA"",""MG"",""SUDESTE"""
"2634,""AGUANIL"",""MG"",""SUDESTE"""
"2635,""AGUAS DE ARAXA"",""MG"",""SUDESTE"""
"2636,""AGUAS DE CONTENDAS"",""MG"",""SUDESTE"""
"2637,""AGUAS FERREAS"",""MG"",""SUDESTE"""
"2638,""AGUAS FORMOSAS"",""MG"",""SUDESTE"""
"2639,""AGUAS VERMELHAS"",""MG"",""SUDESTE"""
"2640,""AIMORES"",""MG"",""SUDESTE"""
"2641,""AIURUOCA"",""MG"",""SUDESTE"""
"2642,""ALAGOA"",""MG"",""SUDESTE"""
"2643,""ALBERTINA"",""MG"",""SUDESTE"""
"2644,""ALBERTO ISAACSON"",""MG"",""SUDESTE"""
"4520,""VILA RICA"",""MT"",""CENTRO-OESTE"""
"4514,""VL BELA SANT TRINDADE"",""MT"",""CENTRO-OESTE"""
"4102,""AGUA BOA"",""MS"",""CENTRO-OESTE"""
"4104,""ALBUQUERQUE"",""MS"",""CENTRO-OESTE"""
"4105,""ALCINOPOLIS"",""MS"",""CENTRO-OESTE"""
"4106,""ALTO SUCURIU"",""MS"",""CENTRO-OESTE"""
"4107,""AMAMBAI"",""MS"",""CENTRO-OESTE"""
"4109,""AMOLAR"",""MS"",""CENTRO-OESTE"""
"4110,""ANASTACIO"",""MS"",""CENTRO-OESTE"""
"4111,""ANAURILANDIA"",""MS"",""CENTRO-OESTE"""
"4112,""ANGELICA"",""MS"",""CENTRO-OESTE"""
"2049,""ABADIA DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2050,""ABADIANIA"",""GO"",""CENTRO-OESTE"""
"2051,""ACREUNA"",""GO"",""CENTRO-OESTE"""
"2052,""ADELANDIA"",""GO"",""CENTRO-OESTE"""
"2053,""AGUA FRIA DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2054,""AGUA LIMPA"",""GO"",""CENTRO-OESTE"""
"2055,""AGUAS LINDAS DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2056,""ALEXANIA"",""GO"",""CENTRO-OESTE"""
"2057,""ALOANDIA"",""GO"",""CENTRO-OESTE"""
"2058,""ALTO ALVORADA"",""GO"",""CENTRO-OESTE"""
"2059,""ALTO HORIZONTE"",""GO"",""CENTRO-OESTE"""
"2060,""ALTO PARAISO DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2061,""ALVORADA DO NORTE"",""GO"",""CENTRO-OESTE"""
"2062,""AMARALINA"",""GO"",""CENTRO-OESTE"""
"2063,""AMERICANO DO BRASIL"",""GO"",""CENTRO-OESTE"""
"2064,""AMORINOPOLIS"",""GO"",""CENTRO-OESTE"""
"2065,""ANAPOLIS"",""GO"",""CENTRO-OESTE"""
"2066,""ANHANGUERA"",""GO"",""CENTRO-OESTE"""
"2067,""ANICUNS"",""GO"",""CENTRO-OESTE"""
"2068,""APARECIDA"",""GO"",""CENTRO-OESTE"""
"2069,""APARECIDA DE GOIANIA"",""GO"",""CENTRO-OESTE"""
"2070,""APARECIDA DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2071,""APARECIDA DO RIO CLARO"",""GO"",""CENTRO-OESTE"""
"2072,""APARECIDA DO RIO DOCE"",""GO"",""CENTRO-OESTE"""
"2073,""APORE"",""GO"",""CENTRO-OESTE"""
"2074,""ARACU"",""GO"",""CENTRO-OESTE"""
"2075,""ARAGARCAS"",""GO"",""CENTRO-OESTE"""
"2076,""ARAGOIANIA"",""GO"",""CENTRO-OESTE"""
"2077,""ARAGUAPAZ"",""GO"",""CENTRO-OESTE"""
"11472,""ARANTINA"",""GO"",""CENTRO-OESTE"""
"2078,""ARENOPOLIS"",""GO"",""CENTRO-OESTE"""
"2079,""ARUANA"",""GO"",""CENTRO-OESTE"""
"2080,""AURILANDIA"",""GO"",""CENTRO-OESTE"""
"2081,""AURIVERDE"",""GO"",""CENTRO-OESTE"""
"2082,""AVELINOPOLIS"",""GO"",""CENTRO-OESTE"""
"2083,""BACILANDIA"",""GO"",""CENTRO-OESTE"""
"2084,""BALIZA"",""GO"",""CENTRO-OESTE"""
"2085,""BANDEIRANTES"",""GO"",""CENTRO-OESTE"""
"2086,""BARBOSILANDIA"",""GO"",""CENTRO-OESTE"""
"2087,""BARRO ALTO"",""GO"",""CENTRO-OESTE"""
"2088,""BELA VISTA DE GOIAS"",""GO"",""CENTRO-OESTE"""
"10207,""BEZERRA"",""GO"",""CENTRO-OESTE"""
"2089,""BOM JARDIM DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2090,""BOM JESUS"",""GO"",""CENTRO-OESTE"""
"2091,""BONFINOPOLIS"",""GO"",""CENTRO-OESTE"""
"2092,""BONOPOLIS"",""GO"",""CENTRO-OESTE"""
"2093,""BRAZABRANTES"",""GO"",""CENTRO-OESTE"""
"2094,""BRITANIA"",""GO"",""CENTRO-OESTE"""
"2095,""BUENOLANDIA"",""GO"",""CENTRO-OESTE"""
"2096,""BURITI ALEGRE"",""GO"",""CENTRO-OESTE"""
"2097,""BURITI DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2098,""BURITINOPOLIS"",""GO"",""CENTRO-OESTE"""
"2099,""CABECEIRAS"",""GO"",""CENTRO-OESTE"""
"2100,""CACHOEIRA ALTA"",""GO"",""CENTRO-OESTE"""
"2101,""CACHOEIRA DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2102,""CACHOEIRA DOURADA"",""GO"",""CENTRO-OESTE"""
"2103,""CACU"",""GO"",""CENTRO-OESTE"""
"2104,""CAIAPONIA"",""GO"",""CENTRO-OESTE"""
"2105,""CAICARA"",""GO"",""CENTRO-OESTE"""
"2106,""CALCILANDIA"",""GO"",""CENTRO-OESTE"""
"2107,""CALDAS NOVAS"",""GO"",""CENTRO-OESTE"""
"2108,""CALDAZINHA"",""GO"",""CENTRO-OESTE"""
"2109,""CALIXTO"",""GO"",""CENTRO-OESTE"""
"2110,""CAMPESTRE DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2111,""CAMPINACU"",""GO"",""CENTRO-OESTE"""
"2112,""CAMPINORTE"",""GO"",""CENTRO-OESTE"""
"2113,""CAMPO ALEGRE DE GOIAS"",""GO"",""CENTRO-OESTE"""
"2114,""CAMPO LIMPO"",""GO"",""CENTRO-OESTE"""
